word_id,word,StressPos,OLD20,PLD20,PUP,OUP,LengthOrth,LengthPhon,NormPLD,NormOLD,Duration
65,агва,1,3.35,3.45,0.75,0.5,4,4,0.8625,0.8375,0.8858541666666667
114,акань,2,3.9,3.0,1.0,0.4,5,4,0.75,0.78,0.9560208333333332
64,апаж,2,3.0,3.0,1.0,1.0,4,4,0.75,0.75,0.9818125
135,апонь,2,4.0,3.0,1.0,0.4,5,4,0.75,0.8,0.8636666666666667
78,баларь,2,4.95,4.0,1.0,0.8333333333333334,6,5,0.8,0.8250000000000001,0.9090208333333332
142,барнак,2,4.45,4.95,0.6666666666666666,0.5,6,6,0.8250000000000001,0.7416666666666667,1.1022708333333333
13,бекня,1,4.0,4.6,0.4,0.6,5,5,0.92,0.8,0.8536041666666667
99,бикень,1,5.0,4.05,0.4,0.3333333333333333,6,5,0.8099999999999999,0.8333333333333334,0.91625
56,битля,1,4.0,4.35,0.4,0.4,5,5,0.8699999999999999,0.8,1.0114375
26,бодор,1,3.95,4.0,0.8,0.8,5,5,0.8,0.79,0.8912083333333334
120,боктен,2,4.9,5.0,1.0,0.5,6,6,0.8333333333333334,0.8166666666666668,1.0003541666666669
33,бутфиль,2,6.0,5.0,0.6666666666666666,0.1428571428571428,7,6,0.8333333333333334,0.8571428571428571,0.9247291666666668
115,васка,1,3.95,4.0,0.6,0.4,5,5,0.8,0.79,1.011875
136,веньмо,2,5.0,4.0,0.8,0.3333333333333333,6,5,0.8,0.8333333333333334,0.9086041666666668
31,вепемь,1,5.0,4.0,0.6,0.3333333333333333,6,5,0.8,0.8333333333333334,0.9461041666666666
45,витлюн,2,5.0,5.0,0.6666666666666666,0.3333333333333333,6,6,0.8333333333333334,0.8333333333333334,0.9924166666666666
67,вогой,2,4.0,4.15,1.0,0.8,5,5,0.8300000000000001,0.8,0.9812083333333332
37,войстов,2,6.0,6.0,0.5714285714285714,0.4285714285714285,7,7,0.8571428571428571,0.8571428571428571,1.094875
5,вуган,2,4.0,4.0,0.6,0.6,5,5,0.8,0.8,0.9722083333333332
