,is_word,rt,word,is_test,is_correct,age,modality,experiment_id,subject
95,0,1.48497889994178,треза,1,1,19,1,1,1101
96,0,1.557736200047657,овог,1,1,19,1,1,1101
97,1,1.455782699980773,ведро,1,1,19,1,1,1101
98,1,1.18387170007918,трава,1,1,19,1,1,1101
99,0,1.057945000007749,шнеток,1,1,19,1,1,1101
100,1,0.9227956000249832,кефир,1,1,19,1,1,1101
101,1,1.061957400059327,лето,1,1,19,1,1,1101
102,1,1.25623810000252,носок,1,0,19,1,1,1101
103,0,1.885376099962741,войстов,1,1,19,1,1,1101
104,0,1.44602659996599,целдер,1,1,19,1,1,1101
105,0,1.204358699964359,сцурка,1,1,19,1,1,1101
106,1,0.9282024999847636,письмо,1,1,19,1,1,1101
107,0,1.045921199955046,выгло,1,1,19,1,1,1101
108,1,0.837679099990055,сосед,1,1,19,1,1,1101
109,0,1.000000100000761,реплен,1,1,19,1,1,1101
110,0,1.216256499988958,пленто,1,0,19,1,1,1101
111,1,2.045020700083114,банка,1,1,19,1,1,1101
112,1,1.745272499974817,море,1,1,19,1,1,1101
113,0,1.041263199993409,ержин,1,1,19,1,1,1101
114,1,1.353283800068311,река,1,1,19,1,1,1101
115,1,0.9754522000439464,фонарь,1,1,19,1,1,1101
116,0,1.058950199978426,туан,1,1,19,1,1,1101
117,1,1.288526899996214,ухо,1,1,19,1,1,1101
118,0,1.629206600016914,витлюн,1,1,19,1,1,1101
119,0,1.065457799937576,смилок,1,0,19,1,1,1101
120,0,2.577545500011183,лермей,1,1,19,1,1,1101
121,0,1.733957199961878,прекифь,1,1,19,1,1,1101
122,1,0.9277674000477418,вода,1,1,19,1,1,1101
123,0,1.001863899989985,хальдан,1,1,19,1,1,1101
124,1,1.241068199975416,труба,1,1,19,1,1,1101
125,1,0.950310799991712,вилка,1,1,19,1,1,1101
126,0,1.172908000065945,хруты,1,1,19,1,1,1101
127,0,1.546708999900147,юктус,1,1,19,1,1,1101
128,0,1.146752999979071,трефин,1,1,19,1,1,1101
129,0,0.9302958999760448,эпрад,1,1,19,1,1,1101
130,1,0.9748524000169708,диван,1,1,19,1,1,1101
131,0,1.194280300056562,десья,1,1,19,1,1,1101
132,1,1.017641399987042,отец,1,1,19,1,1,1101
133,1,0.8585862000472844,книга,1,0,19,1,1,1101
134,1,1.972984099993482,обед,1,1,19,1,1,1101
135,1,1.046398999984376,корень,1,1,19,1,1,1101
136,0,1.492590400041081,фазлек,1,1,19,1,1,1101
137,0,1.120668499963358,битля,1,1,19,1,1,1101
138,0,1.220155899995007,стободь,1,1,19,1,1,1101
139,1,1.185122300055809,палец,1,0,19,1,1,1101
140,0,1.626905800076202,сьюва,1,1,19,1,1,1101
141,0,1.299536500009708,щекниль,1,1,19,1,1,1101
142,1,0.9448824999853968,кухня,1,1,19,1,1,1101
143,1,1.060629900079221,пицца,1,1,19,1,1,1101
144,0,1.341680800076574,зутан,1,1,19,1,1,1101
145,0,1.273949399939738,цвутня,1,1,19,1,1,1101
146,0,1.041190100018866,глисо,1,1,19,1,1,1101
147,1,2.186981999897398,утка,1,1,19,1,1,1101
148,1,0.9909028999973089,гнездо,1,1,19,1,1,1101
149,0,1.150624400004745,тоюнт,1,1,19,1,1,1101
150,1,0.907978200004436,школа,1,1,19,1,1,1101
151,0,1.116710599977523,апаж,1,1,19,1,1,1101
152,0,1.01288320007734,агва,1,1,19,1,1,1101
153,1,1.904415299999528,перо,1,1,19,1,1,1101
154,1,1.405912299989723,урок,1,1,19,1,1,1101
155,0,1.678327800007537,кугур,1,1,19,1,1,1101
156,0,1.356175299966708,вогой,1,1,19,1,1,1101
157,1,1.021652000024915,город,1,1,19,1,1,1101
158,1,1.154963799985126,небо,1,0,19,1,1,1101
159,0,1.502401900012046,чигност,1,1,19,1,1,1101
160,1,1.422919800039381,деньги,1,1,19,1,1,1101
161,0,1.375932900002226,чехвинь,1,1,19,1,1,1101
162,0,1.812473800033331,тиня,1,1,19,1,1,1101
163,0,1.069648100063205,кеха,1,1,19,1,1,1101
164,0,1.614786099991761,сдажка,1,1,19,1,1,1101
165,0,1.722078499966301,зула,1,1,19,1,1,1101
166,0,1.025877199950628,яшель,1,1,19,1,1,1101
167,0,0.9948433999670668,фопьяк,1,1,19,1,1,1101
168,1,0.9893933000275864,земля,1,1,19,1,1,1101
169,0,1.046830300008878,жеглин,1,1,19,1,1,1101
170,0,0.9468006000388414,рукса,1,1,19,1,1,1101
171,1,1.06221809994895,шорты,1,1,19,1,1,1101
172,1,1.047726199962199,пират,1,1,19,1,1,1101
173,1,0.8046628000447527,лошадь,1,1,19,1,1,1101
174,1,1.19213750003837,горох,1,1,19,1,1,1101
175,1,1.088404099922627,кусок,1,1,19,1,1,1101
